1	5-41	tissuelist:TS-1250,tissuelist:TS-0114
5	0-27	
8	0-16	
9	9-28	tissuelist:TS-1250
14	5-29	tissuelist:TS-1250,manual:ESCC
15	6-24	manual:ESCC
16	5-78	manual:ESCC
17	7-26	manual:ESCC
75	9-43	manual:ESCC
85	3-27	
86	10-28	cellosaurus:CVCL_1354,cellosaurus:CVCL_1348
87	19-36	cellosaurus:CVCL_1354,cellosaurus:CVCL_1348
99	5-51	
100	8-17	
101	3-15	
112	0-28	
113	0-21	tissuelist:TS-0614,tissuelist:TS-0547,tissuelist:TS-0591
114	10-28	manual:ESCC
115	11-26	manual:ESCC
116	5-54	manual:ESCC
121	2-31	manual:ESCC
122	3-13	taxonomy:9606
125	8-22	taxonomy:9606,manual:ESCC
126	7-19	taxonomy:9606,manual:ESCC
127	18-26	
128	4-27	
129	0-24	
130	1-19	
131	0-16	manual:ESCC
132	2-21	taxonomy:9606
136	0-38	tissuelist:TS-0160,tissuelist:TS-0595
138	3-31	manual:ESCC
139	8-26	tissuelist:TS-0579
143	0-13	
144	0-35	tissuelist:TS-0600,tissuelist:TS-0978,tissuelist:TS-0591,tissuelist:TS-0585
145	0-21	
146	3-15	
147	1-32	manual:ESCC
148	0-16	
150	5-15	taxonomy:9606,manual:ESCC
151	6-31	tissuelist:TS-0579,manual:ESCC
155	7-27	
