1	20-20	manual:Drosophila
2	15-15	manual:TGN
5	10-10	manual:Drosophila
19	18-18	manual:TGN
22	10-10	manual:Drosophila
24	15-15	manual:Drosophila
27	5-5	manual:TGN
27	23-23	manual:TGN
28	6-6	manual:Drosophila
32	7-7	manual:Drosophila
51	2-2	manual:Drosophila
110	38-38	manual:Drosophila
113	42-42	manual:Drosophila
122	19-19	manual:Drosophila
193	8-8	manual:Drosophila
203	17-17	manual:TGN
204	11-11	manual:TGN
208	31-31	manual:Drosophila
209	5-5	manual:Drosophila
219	14-14	manual:Drosophila
236	18-18	manual:TGN
242	12-12	manual:TGN
