5	12-16	go:GO:0072686
7	2-9	go:GO:0005813,go:GO:0000922
7	2-14	go:GO:0005813,go:GO:0000922
7	6-9	go:GO:0005813,go:GO:0000922
7	6-14	go:GO:0005813,go:GO:0000922
8	8-10	uniprot:SL-0149
8	25-28	taxonomy:10090
12	6-26	
15	0-3	
16	7-12	
19	0-5	
22	4-7	
27	2-14	
30	2-12	
30	7-12	
32	5-10	
33	3-6	
38	27-30	
41	20-27	
44	3-4	
44	26-27	
44	37-41	
48	17-24	uniprot:SL-0149
50	6-8	uniprot:SL-0149
50	6-10	uniprot:SL-0149
59	29-32	go:GO:0097431,go:GO:0005813
59	29-34	go:GO:0097431,go:GO:0005813
60	1-4	
60	1-6	
61	8-17	
61	8-19	
61	8-22	
