1	0-19	
2	0-28	
3	13-24	
4	6-33	
7	3-37	
11	1-23	go:GO:0005741
12	1-21	
13	1-35	
15	0-38	
16	0-26	
19	0-29	
20	1-26	
21	1-27	
22	3-18	
24	3-25	go:GO:0019867
26	4-46	
27	4-20	
28	3-13	
29	4-19	
33	7-52	
75	0-39	
78	13-39	
83	7-10	
86	5-8	
95	7-26	
99	16-35	
100	6-23	
103	16-42	
105	15-18	
109	1-14	
112	2-26	
114	13-22	
118	1-29	
120	1-7	
121	1-23	
123	0-18	
128	15-24	
131	0-18	
137	1-16	
139	6-23	
144	2-18	
145	2-20	
149	1-21	
151	6-19	
152	1-29	
156	0-17	
158	4-20	
160	1-34	
161	4-33	
176	10-28	
180	0-20	
199	1-22	
201	2-18	
206	4-19	
221	12-28	
222	1-29	
223	2-19	
225	0-15	
226	0-21	
227	4-20	
228	2-46	
230	1-27	
238	0-35	
242	0-10	
244	3-19	
245	6-16	
