2	10-10	manual:ESCC
11	5-5	manual:ESCC
13	16-16	manual:ESCC
13	21-21	manual:ESCC
14	10-10	manual:ESCC
15	12-12	manual:ESCC
15	23-23	manual:ESCC
15	52-52	manual:ESCC
16	19-19	manual:ESCC
17	15-15	manual:ESCC
18	10-10	manual:ESCC
18	26-26	manual:ESCC
19	18-18	manual:ESCC
24	8-8	manual:ESCC
31	0-0	manual:ESCC
32	1-1	manual:ESCC
32	5-5	manual:KYESE150
57	6-6	manual:ESCC
59	5-5	manual:ESCC
62	0-0	manual:ESCC
75	23-23	manual:ESCC
76	15-15	manual:ESCC
76	19-19	manual:KYESE150
79	12-12	manual:ESCC
80	12-12	manual:ESCC
81	10-10	manual:ESCC
88	15-15	manual:ESCC
89	11-11	manual:ESCC
90	15-15	manual:ESCC
90	39-39	manual:ESCC
98	10-10	manual:ESCC
103	10-10	manual:ESCC
114	17-17	manual:ESCC
115	12-12	manual:ESCC
115	25-25	manual:ESCC
116	10-10	manual:ESCC
117	18-18	manual:ESCC
117	24-24	manual:ESCC
118	21-21	manual:ESCC
121	31-31	manual:ESCC
123	22-22	manual:ESCC
124	11-11	manual:ESCC
125	13-13	manual:ESCC
126	19-19	manual:ESCC
131	15-15	manual:ESCC
132	2-2	manual:ESCC
137	15-15	manual:ESCC
138	13-13	manual:ESCC
140	16-16	manual:ESCC
146	1-1	manual:ESCC
147	14-14	manual:ESCC
150	14-14	manual:ESCC
151	19-19	manual:ESCC
152	17-17	manual:ESCC
152	36-36	manual:ESCC
154	31-31	manual:ESCC
155	14-14	manual:ESCC
