0	3-9	
3	22-25	
3	22-31	
5	13-17	
6	7-10	tissuelist:TS-0362,taxonomy:10090
6	7-13	tissuelist:TS-0362,taxonomy:10090
6	24-43	tissuelist:TS-0362,taxonomy:10090
7	2-11	tissuelist:TS-0362,taxonomy:10090
7	2-16	tissuelist:TS-0362,taxonomy:10090
7	2-19	tissuelist:TS-0362,taxonomy:10090
7	14-16	tissuelist:TS-0362,taxonomy:10090
8	4-7	tissuelist:TS-0362,uaz:CVCL_9115,taxonomy:10090
8	4-15	tissuelist:TS-0362,uaz:CVCL_9115,taxonomy:10090
8	4-18	tissuelist:TS-0362,uaz:CVCL_9115,taxonomy:10090
8	5-15	tissuelist:TS-0362,uaz:CVCL_9115,taxonomy:10090
8	5-18	tissuelist:TS-0362,uaz:CVCL_9115,taxonomy:10090
11	7-12	
11	7-15	
11	7-19	
11	7-22	
11	9-12	
11	9-15	
11	9-19	
11	9-22	
18	21-24	
20	15-22	
21	0-3	
21	0-11	
21	0-13	
21	0-17	
22	0-7	
22	0-13	
22	4-7	
25	6-11	
26	24-26	
29	11-14	
29	30-32	
30	15-20	
30	15-26	
30	30-32	
31	11-17	
31	17-21	
31	30-35	
33	27-31	
35	22-27	
38	6-13	tissuelist:TS-0362,taxonomy:10090
38	11-13	tissuelist:TS-0362,taxonomy:10090
38	15-26	tissuelist:TS-0362,taxonomy:10090
38	22-26	tissuelist:TS-0362,taxonomy:10090
42	23-26	uaz:CVCL_9115
42	23-29	uaz:CVCL_9115
43	4-7	
43	4-10	
44	18-20	
45	8-15	
45	8-19	
46	12-14	
46	14-16	
49	29-31	uaz:CVCL_9115
54	2-9	uaz:CVCL_9115
54	4-9	uaz:CVCL_9115
56	2-4	uaz:CVCL_9115
56	2-6	uaz:CVCL_9115
56	4-6	uaz:CVCL_9115
58	9-11	
58	18-20	uaz:CVCL_9115
59	11-14	uaz:CVCL_9115
59	11-17	uaz:CVCL_9115
64	9-13	uaz:CVCL_9115
64	23-25	uaz:CVCL_9115
69	21-23	
69	50-51	
70	17-19	
71	5-9	
71	7-9	
72	8-11	uaz:CVCL_9115
73	8-13	uaz:CVCL_9115
77	25-32	
77	27-32	
78	11-13	uaz:CVCL_9115
79	8-12	uaz:CVCL_9115
80	13-15	
80	13-26	
80	15-26	
80	17-26	
85	16-20	
86	0-2	uaz:CVCL_9115
86	0-12	uaz:CVCL_9115
86	0-15	uaz:CVCL_9115
86	10-12	uaz:CVCL_9115
87	11-16	
89	8-13	
89	8-17	
91	5-10	uaz:CVCL_9115
92	19-23	uaz:CVCL_9115
92	21-23	uaz:CVCL_9115
94	17-22	uaz:CVCL_9115
95	2-8	uaz:CVCL_9115
96	8-11	
97	23-25	
98	26-29	uaz:CVCL_9115
99	2-3	
100	32-33	
101	17-20	
104	13-17	
105	9-17	uaz:CVCL_9115
109	41-46	uaz:CVCL_9115
110	14-19	
110	14-28	
110	14-30	
110	27-28	
110	27-30	
111	0-2	uaz:CVCL_9115
111	0-11	uaz:CVCL_9115
113	10-15	uaz:CVCL_9115
116	8-12	uaz:CVCL_9115
116	8-16	uaz:CVCL_9115
116	26-31	uaz:CVCL_9115
117	12-13	uaz:CVCL_9115
117	30-32	uaz:CVCL_9115
119	2-5	uaz:CVCL_9115
119	2-11	uaz:CVCL_9115
120	0-2	
122	14-16	uaz:CVCL_9115
122	35-36	
123	33-35	uaz:CVCL_9115
127	2-4	
127	14-18	
129	29-30	uaz:CVCL_9115
130	4-6	
133	1-3	uaz:CVCL_9115
133	26-29	
135	15-20	
135	45-47	
135	45-50	
137	2-7	
137	4-7	
139	11-16	uaz:CVCL_9115
140	9-13	uaz:CVCL_9115
140	15-17	uaz:CVCL_9115
142	5-8	
143	0-1	
143	0-20	
143	0-23	
143	0-25	
143	15-20	
144	26-28	
